id,tweet,class,positive_probability,negative_probability,neutral_probability,predicted
1,airway usairway almost hour late flight due mechan,negative,2.3523377791363097e-24,1.5164079060795816e-20,1.1294021403553717e-23,negative
2,delta jetblu _justdippin_ drop new video upcom project thetakeov produc yponthebeat,neutral,1.1430062329073987e-26,2.078653551203687e-27,7.117713743949121e-26,neutral
3,airway usairway nope announc head back gate,negative,5.10418917824604e-21,1.0619679966737868e-20,2.0804507300392386e-22,negative
4,virgin america virginamerica look forward watch oscar flight home tomorrow might even get someth bubbl drink,positive,1.3018972062838232e-44,3.954213499568982e-46,2.169631991739218e-45,positive
5,american americanair mad love nyc,positive,8.064456454540759e-15,4.556492924819769e-15,2.0733812905669637e-14,neutral
6,delta jetblu disappoint allow bring aircraft approv carseat empti plane cool,negative,1.4916717180670618e-33,3.326907710665987e-32,4.4965181732258624e-32,neutral
7,unit unit understood thank tri reach sooner,positive,5.719705688766481e-20,1.8418064095822217e-20,1.3524269532773416e-20,positive
8,airway usairway recent move got new licens book flight month ago use old licens need chang,neutral,5.6408358317428955e-42,1.6766924815652407e-39,1.5701266161041894e-40,negative
9,american americanair tpa ord anoth success journey thank hospit,positive,5.5477972093984865e-24,4.326802052715894e-25,3.86901307507508e-25,positive
10,southwest southwestair give crew swa high five guy nice land bostonlogan nice done,positive,1.8272714930401369e-38,2.9645996163578276e-43,5.75150732599832e-42,positive
11,american americanair pictur taken time right totallyconfus,neutral,7.923295977057605e-18,1.0547268364220374e-17,1.2330545885025057e-18,negative
12,unit unit parryaftab done thnx,positive,1.0502334504195052e-10,5.5506674044496885e-11,1.1681948620839246e-10,neutral
13,delta jetblu everi channel abcnetwork kgonzal suppos watch scandal free flyfi sweet,negative,6.819070711163711e-33,2.800427365880461e-35,1.0353824740980606e-33,positive
14,airway usairway americanair prepar claim bag lost mani valuabl carri hand,negative,1.0961938930559881e-35,1.1677050519747934e-32,9.079342643166186e-36,negative
15,southwest southwestair stuck sju sever hour one answer realli tough luv respons bad,negative,3.4727067936212716e-41,2.499434172553843e-40,1.1204235050646077e-41,negative
16,airway usairway jack_kairi anoth sent wrong line kiosk work thank,negative,6.272384880815439e-23,3.600533928487522e-22,2.5577636708048123e-23,negative
17,american americanair thank updat,positive,7.216284321019045e-10,2.1901808454054306e-10,1.5065843209246054e-10,positive
18,virgin america virginamerica fyi info virginamerica com email address say contact password reset email exist email bounc,negative,2.7543336295253583e-54,2.0561184381229538e-53,9.383314489766343e-50,neutral
19,virgin america virginamerica virgin america fli direct seattl nyc boston,neutral,3.1779923191491093e-29,8.255911686510543e-32,7.490767116952924e-29,neutral
20,southwest southwestair frustrat idea great crew thank happycustom,positive,9.467498714486006e-19,1.0396174791503373e-20,2.2573333510090386e-20,positive
21,virgin america virginamerica appli posit flylaxairport wonder guy receiv applic,neutral,5.327934921542912e-28,3.64021560606726e-30,4.6612468817601616e-29,positive
22,american americanair realli need anyth saw mention often negat keep good work gratitud,positive,2.0604157853337512e-34,6.570508068387031e-34,2.1769482404918565e-33,neutral
23,unit unit dca ewr flight,neutral,1.4681786533997014e-12,4.2791488800823586e-12,1.519368317564426e-12,negative
24,airway usairway hope crappi servic improv becom americanairlin angryairtravel winterstorm,negative,5.406330184290051e-21,1.602899733402994e-21,1.8995419709053922e-22,positive
25,unit unit airlin chang mileageplus program march,neutral,1.2891564635302688e-21,9.754514782456366e-21,7.412340032385429e-20,neutral
26,airway usairway,negative,3.374213498982036e-05,7.117069919225457e-05,2.545721822639774e-05,negative
27,american americanair tri book rwrd told couldnt bought tix usair choic bother aadv svc,negative,4.630241340723444e-34,2.758988165035311e-31,7.328347118407457e-32,negative
28,airway usairway got thank,positive,3.96284088137317e-09,5.177703697557883e-10,1.8779552459704463e-10,positive
29,southwest southwestair theellenshow imaginedragon destinationdragon,neutral,3.3802043651863164e-11,2.919483184457429e-13,9.099215556588484e-11,neutral
30,american americanair thank champagn ord nrt celebr tokyomarathon finish,positive,1.2915507800440186e-17,5.620343695812931e-18,9.35066396281067e-18,positive
31,southwest southwestair never met favorit band would sooo amaz win destin dragon,neutral,8.838858321359809e-36,1.8461090005634705e-38,5.067814866080664e-35,neutral
32,virgin america virginamerica glad mention took first virgin flight year back transform experi,positive,2.4152739625384483e-33,5.099408820480529e-36,7.34723571669647e-36,positive
33,american americanair cancel flight flight jfk delay hour lost bag worst airlin ever,negative,2.1338503240253575e-36,8.345892348450063e-31,1.4081538497257501e-36,negative
34,unit unit great hear thankyou much great appreci repli feel much settl,positive,2.138594029029158e-33,6.006415009035835e-38,3.7272905059175984e-38,positive
35,unit unit useless respons need function wheelchair custom care form fill,negative,2.460634283631806e-34,2.519813571419534e-33,1.5604532733427285e-34,negative
36,unit unit pleas help left ipad air flight nyc pari yesterday cant get touch anyon local,neutral,1.7507710529221934e-49,9.222004365982533e-48,3.1615009155477165e-47,neutral
37,airway usairway big thank ticket agent ute dull washington outstand guest servic get rebook,positive,5.47481485041723e-39,9.709212668256156e-40,2.6314542250544727e-40,positive
38,airway usairway get full amount credit account airway credit,neutral,4.933082427954402e-27,1.8741161678185835e-25,1.5166788302206383e-26,negative
39,southwest southwestair status flight stl aus,neutral,7.882021344272745e-18,2.5753222672999927e-18,3.2748666685004874e-17,neutral
40,airway usairway flight keep get delay cancel flight inform worst custom servic ever,negative,1.8589221930692596e-35,9.73693767778722e-31,1.2610170310624559e-36,negative
41,unit unit blow,neutral,3.083893834551275e-08,8.662510318069295e-08,5.169262264721366e-08,negative
42,unit unit may hit new status year ive flown sever time year tri book yall everi time,positive,2.596491646516558e-53,6.559479973033207e-51,8.949834419358689e-51,neutral
43,southwest southwestair new market song let know think,neutral,1.347592188957048e-23,9.538122282953543e-25,7.651977461047588e-24,positive
44,delta jetblu deal cancel flightl flight sinc last night amp book flight wouldv least like see ella perform lol,negative,1.728409460117949e-52,7.284799967624521e-51,4.858494527156557e-51,negative
45,delta jetblu deal,neutral,8.382169866820245e-08,6.305577168609664e-09,4.694973542540452e-08,positive
46,american americanair book seat dalla live dalla real nice gate agent exit row avail told avail,negative,1.6564631080458914e-52,3.962939635546284e-49,1.2460481645229304e-49,negative
47,southwest southwestair thank good militari folk cold stloui sure enjoy flight,positive,3.7736008400446956e-27,2.8045761471632467e-30,3.9158384827423645e-29,positive
48,unit unit need get albuquerqu usa cebu philippin provid educ help kid help,neutral,2.2399176667551112e-32,4.99225949349171e-32,5.725217722606084e-31,neutral
49,unit unit thank help understand reduc price seat sold check prioriti certif,positive,3.6605574188995923e-36,1.4248211547114983e-35,1.003590527028961e-34,neutral
50,southwest southwestair hate guitar player chgd overs extra bag acoust guitar epic fail,negative,3.9283814761599145e-39,1.5351723809367936e-37,5.616279678427055e-37,neutral
51,unit unit know flight detail need explor option unabl site let seem ongo,negative,1.1892069956735985e-36,5.379473229394463e-34,5.698960492771599e-34,neutral
52,unit unit haha clean plane held overnight hangar sound love also lie screensand say weather,negative,1.0982414571280993e-40,2.3619388657753734e-40,6.596766429789723e-41,negative
53,american americanair let flt know come gate crew yet arriv let flt dfw,negative,5.968421548200455e-39,3.6126670216928836e-37,4.4006410601518625e-39,negative
54,unit unit check onlin still wait line hour check counter fuckinlam naia_miaa,negative,5.4805839038202366e-30,2.266756971736451e-25,3.9356904147798636e-28,negative
55,unit unit control rather verizonwireless app new,neutral,2.004990966580741e-17,5.408220658868632e-17,8.838630303880225e-17,neutral
56,airway usairway need help air clt phl conf dmqf need confirm bna bump day need home,negative,2.7329917116078414e-46,6.380624802318526e-44,8.939013988664988e-44,neutral
57,delta jetblu read nytim jetblu fleet fleek,neutral,4.784756679673389e-20,1.9983031981819081e-22,1.4180234066385008e-18,neutral
58,airway usairway link work via mobil,negative,1.1348998997075487e-18,2.1090143857591027e-18,1.1557525679227491e-17,neutral
59,delta jetblu book jfk book ath thank,positive,4.930239864717013e-15,3.3340689710066046e-16,3.1960164132950397e-15,positive
60,virgin america virginamerica good home texa moodlight,positive,1.6721188024005265e-20,3.6747162868389243e-23,5.424053275036094e-22,positive
61,unit unit compens new cloth bet,negative,1.2531193541129632e-18,6.676815628232881e-18,4.143107954943855e-18,negative
62,airway usairway three hour hold disconnect conf ebhset need home sunday interview,negative,6.42688346614e-33,8.248710935368317e-29,3.468837949129217e-32,negative
63,virgin america virginamerica need receipt flight chang send one,neutral,9.420922544462668e-26,4.8070458590291956e-26,1.8487935568611812e-24,neutral
64,airway usairway book flight yesterday didnt receiv email confirm dividend number regist pleas help,negative,2.336503720079631e-44,6.879686360190974e-41,1.4509211362651925e-41,negative
65,delta jetblu mother overheard personnel ask attend passeng realli knew go attend said,negative,1.8453333689521098e-38,9.459008050420218e-38,6.741933183823432e-39,negative
66,delta jetblu fleet fleek smh,neutral,6.750980001285433e-15,3.2362177728293456e-16,7.243248147811565e-14,neutral
67,southwest southwestair thank twitter say someon unless follow southwestair follow twitter,negative,3.582160004733361e-30,1.2940059279436177e-32,1.688394078327133e-30,positive
68,southwest southwestair got call rdu baggag except help get fli back home,negative,1.068475286187234e-32,3.0624703506309975e-32,1.3759676981437868e-33,negative
69,airway usairway agent hold connect arriv late flight min departur time min late flight flt gate disappoint,negative,2.704448337277733e-51,3.297712859769606e-44,1.4168129791154768e-49,negative
70,unit unit staff rather effici got solut freak littl limbo air,positive,1.0519859376871888e-27,3.734977857181506e-27,4.6120226981655034e-29,negative
71,delta jetblu love fli great servic,positive,7.485167437098294e-14,5.099278665277156e-17,7.006651367608355e-16,positive
72,unit unit thank,positive,1.190383020136792e-05,1.8191271667945518e-06,2.68801637765511e-06,positive
73,southwest southwestair flight nwn taxi flytpa prior flight fly_nashvill,neutral,3.573779836279113e-24,3.634771971017193e-24,1.426015839343045e-23,neutral
74,virgin america virginamerica got set thank,positive,1.6475809815124243e-15,2.1859914471387655e-18,4.91549403996871e-17,positive
75,american americanair attach origin ticket flight number experi thought would terribl,negative,1.0171648222192791e-33,7.432231085107936e-32,2.196746147131802e-32,negative
76,southwest southwestair weather system outag hope everyth goe smooth thank follow,positive,1.2724130850146628e-27,4.3975753987519695e-31,2.0353818775595526e-30,positive
77,unit unit generic form ton field ask info alreadi expect premier platinum anoth servicefail,negative,2.0643636412182318e-42,9.760077957749475e-43,6.995359138237893e-43,positive
78,southwest southwestair open onlin applic fall intern posit throughout compani appli via,neutral,2.5141641447423457e-37,2.333876930478233e-36,2.8669352670970616e-34,neutral
79,delta jetblu know guy super busi flight,neutral,6.461932038039151e-18,2.4479214177728374e-19,1.644439437833404e-19,positive
80,southwest southwestair yes pleas,positive,6.760408730372634e-10,5.138290404645075e-11,5.71950692128419e-10,positive
81,delta jetblu custom servic agent bonni amaz phone deserv promot,positive,7.453526596829377e-25,1.3812182507637796e-27,3.2327539912268924e-28,positive
82,delta jetblu follow pls,neutral,2.0814677798129922e-11,3.5353656532052583e-12,2.3872746826476875e-10,neutral
83,delta jetblu realli,neutral,1.466879726693543e-07,2.837509725874349e-08,5.633968251048543e-08,positive
84,airway usairway pleas post wait time hold two hour,negative,9.479376994600176e-27,1.2513893959225199e-23,6.022571274288675e-26,negative
85,southwest southwestair ahah____ love,positive,5.819234284656913e-07,1.09349242673853e-08,1.8735099132739024e-07,positive
86,american americanair happen put gear jeopardi step take protect custom item,negative,1.6315427070929182e-29,3.7506497430820835e-27,6.3002847083680115e-28,negative
87,american americanair thank alway start vacat,positive,3.487187106118851e-16,6.43784823338572e-17,3.2059419301065155e-17,positive
88,american americanair emxlyy wheel broken got swear,negative,2.4051887671437348e-15,3.6907592691040135e-14,2.9100088288659138e-15,negative
89,unit unit click link got confus,neutral,2.8149289971197284e-14,7.502403880663875e-14,1.539993226852631e-13,neutral
90,american americanair americanview new paint scheme look great usairway,positive,2.7164084781769796e-22,8.29713461813417e-24,5.1894580397867325e-23,positive
91,unit unit everi unit flight saipan guam adventur never know capeair old plane oper,positive,1.0413427200138617e-26,4.749768593624945e-25,5.255867906693577e-26,negative
92,delta jetblu sat plane hour dull insan ijustwanttobeinboston thanksdc,negative,2.517233101680023e-22,5.9378152174548145e-22,2.8051021079180736e-22,negative
93,delta jetblu tri harder take winner attitud work,neutral,4.228951610822439e-21,6.3841894383473946e-21,6.023587684371444e-21,negative
94,airway usairway still sit feel bad handl,negative,1.0306535840689119e-21,9.802088486796015e-20,1.4698836679625057e-22,negative
95,american americanair left someth flight ord sfo earlier today believ plane back ord pleas help,neutral,2.4139868682822735e-43,4.743178777015409e-41,4.226553429647203e-42,negative
96,unit unit good job cle tpa schedul inch snow,positive,5.831276511520804e-24,1.4392345230528117e-25,8.265321177949855e-25,positive
97,unit sent thank unit goodenufmoth pleas confirm number reflight book problem need thank,neutral,3.034685294754556e-32,4.621135612588264e-32,2.005123584153927e-31,neutral
98,delta jetblu would like actual email address follow thank,neutral,9.25167186721534e-25,2.209347165880344e-26,9.164810440434488e-25,positive
99,southwest southwestair thank bringbacktheluvtordu miami directflight,positive,1.118364758538787e-09,2.4523658749442403e-11,1.4484465579875547e-10,positive
100,airway usairway tip get hotel airlin get even though told make flight,negative,2.0773162232042017e-34,7.459153043563665e-32,6.842299604108431e-34,negative
101,american americanair great thank keep good work,positive,9.852488402492635e-17,2.8876211539415333e-19,2.264083283973528e-19,positive
102,american americanair peopl phone see differ poor process,negative,3.4386281926129233e-25,4.214417583814182e-23,1.2499888396396414e-24,negative
103,southwest southwestair cancel flightl flight ewr flt also cancel flightl flight lga yet unit fli time wth,negative,4.679067589899013e-44,4.323009240524036e-40,2.592480075581779e-42,negative
104,american americanair record locat oaaret got email rebook got notif flight cancel flightl,negative,6.696106853899358e-41,5.9658800954929095e-37,1.6025477168903984e-38,negative
105,unit unit flyeia yes said took hour,negative,2.741198587122107e-16,4.166332952017317e-15,7.250438921151747e-17,negative
106,delta jetblu excit saw fli ionlyflyblu,positive,3.150457333933202e-14,2.899111754826289e-16,3.49674048515041e-14,neutral
107,delta jetblu hahah ____ love fli jet blue tho,positive,2.4323172636269438e-23,2.1451704648422047e-26,1.9968523480094767e-24,positive
108,unit unit thank great servic newark seat fix seat daughter fab land fort myer,positive,1.6571214775489942e-36,3.200680925152533e-39,9.578285572960064e-39,positive
109,airway usairway heard monterey airport close due thick fog updat,neutral,4.0898951748766335e-23,1.4710452764105345e-20,3.2563576644092438e-22,negative
110,unit unit pleas get plane,negative,6.0272597350093e-12,2.6359557101307326e-11,2.490572379380118e-11,negative
111,american americanair itunesmus put bad mood angri sinc spagnuolo coach ram,negative,5.0303860706981094e-27,8.116656087345831e-26,2.459890573634863e-26,negative
112,delta jetblu thank,positive,4.044396960740768e-06,4.413904018026765e-08,4.88277248424207e-07,positive
113,unit unit guy name oti ord know customerservic abl get bag upgrad sure,positive,8.133147899184912e-34,3.646737474154809e-33,2.1307850344089156e-33,negative
114,unit unit relat flight book problem number myyb name clarita jaramillo mejia thank,neutral,4.356855454304667e-24,3.772442912847679e-23,3.979077465912398e-23,neutral
115,airway usairway americanair nvm bad hour half thank,negative,3.1100575034043216e-22,1.3307276385948308e-21,1.4726518104633768e-23,negative
116,airway usairway look today,neutral,2.02912913157785e-10,2.1687912313403828e-10,1.1737220287315288e-10,negative
117,southwest southwestair crew great today travel lauderdal louisvill kid thank,positive,2.019703309547084e-27,3.838505604706199e-31,8.049989171829448e-30,positive
118,virgin america virginamerica give silver status month,neutral,5.700405008183612e-22,4.2459957095827905e-23,8.261250372747282e-22,neutral
119,airway usairway hold time book award travel gold status hour count day call usairwaysfail americanair,negative,1.3096201074675992e-46,1.5043628716651958e-40,1.5513721246400736e-44,negative
120,southwest southwestair updat emerg land jacksonvill right parentsonboard,neutral,1.0464938130001801e-21,5.049570613015924e-22,1.0046373705040227e-21,positive
121,american americanair thank,positive,1.5256668311498464e-06,2.4858552595351637e-07,2.6666542480365513e-07,positive
122,american americanair need help reserv follow detail thank,neutral,1.922311733056576e-21,8.5837852541266e-22,1.1525079315594063e-20,neutral
123,southwest southwestair imagin dragon ticket left tomorrow velourl utah would love avail,neutral,1.47785711133136e-34,1.6782575596078912e-35,7.626047810478182e-32,neutral
124,virgin america virginamerica know would amaz awesom bos fll pleas want fli,positive,3.9802488396324506e-33,5.24482259492858e-38,1.8443584170703065e-34,positive
125,unit unit see two flight two seat morn get,neutral,1.6210555206245828e-23,6.408714783708291e-22,2.480463874854481e-22,negative
126,american americanair thank get back frequent weather advisori updat throughout day,neutral,5.059968894843386e-28,9.864696573999337e-28,3.956289617951358e-28,negative
127,delta jetblu vegecomgirl,neutral,0.00011075989707769601,1.312085515834861e-05,9.97212380435592e-05,positive
128,virgin america virginamerica americanair help flight get old battl cancer need treatment freyabevan_fund,neutral,2.951943338701515e-31,4.121688840719e-31,2.710227994471013e-29,neutral
129,american americanair hour get back back sat plane hour flight cancel flightl one small drink,negative,5.589342507636877e-43,7.755484048191001e-39,9.712875739084815e-43,negative
130,airway usairway thank apolog,neutral,4.662165742791965e-10,1.3423676252927842e-10,2.347444057463058e-11,positive
131,airway usairway worri someth wrong flight consid fli earlier,neutral,3.1543267447977675e-27,3.8444684942606584e-26,3.9702774551099056e-27,negative
132,airway usairway americanair honeymoon delay day gas cap screw flight frustrat,negative,4.043347714333446e-34,3.897996997221696e-31,1.567605253234162e-34,negative
133,unit unit rather truth flight forc sit day tri get home,negative,1.8322598191422146e-28,5.682182335368165e-25,6.082430641023426e-27,negative
134,unit unit get follow fli christma,neutral,1.2657245443519529e-11,8.196515173030478e-12,3.7537334904532875e-11,neutral
135,southwest southwestair best custom servic,positive,4.809220854451064e-12,2.85283899482424e-13,7.343999642121457e-14,positive
136,delta jetblu yesterday way ewr fll take wheelsup jetbluesofli,positive,7.739104701977179e-25,1.0670421562845591e-25,2.5996337307001685e-24,neutral
137,american americanair snack left purpos team help morn desk phone,positive,4.9354166889560775e-27,3.230434623716598e-26,2.1234292905981075e-27,negative
138,delta jetblu social media take flight fli likeagirl brand lesson learn smm brand,neutral,3.474687767068708e-33,1.0525345844072078e-34,2.472414378296449e-34,positive
139,delta jetblu board back airplan first like boss sosmart jetblu frequentflyerappreci alsoyayforsnack,positive,2.2933277057054047e-21,2.624763648136572e-22,4.5006749788594535e-21,neutral
140,american americanair cancel flight flight say caus weather condit flight cancel flight,negative,6.451083045360212e-32,7.424567226438075e-29,4.983217582114045e-30,negative
141,southwest southwestair crew san sfo brilliant rita hilari know great flight,positive,8.146807324149428e-21,8.32693215178484e-23,6.968765187739767e-22,positive
142,airway usairway meantim sleep park bench dadeland thank guy,negative,1.470668141463882e-16,4.650376720598822e-17,2.1854230375266536e-18,positive
143,american americanair hand sanit bathroom flight,neutral,1.6128912909081515e-14,6.265177771627184e-14,1.0048624237177609e-14,negative
144,delta jetblu thank take care drink sinc flight entertain work goodcustomerservic,positive,5.041115311244005e-27,2.0823977892687105e-28,6.501743410811577e-29,positive
145,delta jetblu make sens bad,neutral,3.938071667416502e-14,1.067951865033684e-14,7.992549680343796e-15,positive
146,southwest southwestair easi fix let busi select actual board board pre board,neutral,1.0255487458262223e-37,5.822545323957499e-37,1.4322747139742566e-37,negative
147,delta jetblu month ago flight book cancel flight flight book problem separ flight differ occas,neutral,5.583984564649155e-42,8.48189876588719e-40,2.911566819227486e-40,negative
148,american americanair aww cool nice know still head one fave,positive,4.307272746725302e-26,1.1448295743296594e-27,2.408932388493651e-27,positive
149,delta jetblu think rli know goin suppos leav,negative,5.8541276459290954e-18,1.07166502639498e-17,9.482686061424843e-17,neutral
150,american americanair check app said flight move back day explan answer number,negative,5.643169306336385e-36,7.472527831079378e-33,4.997828362665515e-35,negative
151,delta jetblu thought thing sent,neutral,3.750544445158574e-14,1.1866131833707602e-15,2.28953246051515e-14,positive
152,unit unit need book two one way order fli unaccompani minor,neutral,1.0496143116116922e-33,4.525030179273133e-31,2.1027107858293264e-31,negative
153,virgin america virginamerica delay,negative,6.079037069089197e-11,1.0066008765849054e-11,1.999006175485987e-11,positive
154,southwest southwestair tri get cust relat anoth use,neutral,2.0848698989484246e-23,7.299842920553779e-23,3.34774013920832e-23,negative
155,delta jetblu good miami termin,neutral,4.500653334190289e-14,2.6429111811439654e-15,1.4986030650644617e-14,positive
156,unit unit thank chees platter abund entertain option time flew,positive,1.6930328838748786e-18,4.887525301525506e-19,8.114561719664048e-20,positive
157,unit unit thank look get back via glad hear bag final deliv thank,positive,1.706054411148959e-33,1.9942289047249573e-35,2.1765452606454794e-36,positive
158,unit unit effici layout kiosk bag drop line would help definit space addit friend help staff,negative,2.632343099804173e-42,5.247108708242353e-41,3.1648045904689337e-43,negative
159,american americanair thank repli tri figur get dfw,positive,7.933350009439837e-22,7.408419310147355e-22,2.258240284635659e-22,positive
160,unit unit rep rebook wast time poor communic,negative,5.532236690417174e-25,7.724577290156306e-22,2.5714332553621767e-25,negative
161,delta jetblu get sunday due weather monday busi crazi,negative,4.591776056267227e-28,5.728952328399403e-27,1.1435592349918258e-27,negative
162,airway usairway still ignor question usairway consist provid poor custom servic,negative,6.206778786470422e-34,6.540615310029054e-31,2.015723576398107e-34,negative
163,delta jetblu could begin blueti relationship lifeneedsfrost,positive,1.125163333547572e-15,6.742120360061138e-17,1.1988824520515692e-14,neutral
164,southwest southwestair hour delay make nice offer reschedul next day,negative,1.836569589769498e-28,6.602501113352889e-28,8.946733527734298e-30,negative
165,airway usairway make reserv,neutral,3.623444877817589e-11,2.260108756870504e-10,8.667485750632829e-11,negative
166,southwest southwestair receiv email reso email associ swa account info sister fraud pleas,negative,8.79957450659821e-36,7.0445741269555e-35,2.883023568259222e-34,neutral
167,unit unit custom servic terribl,negative,8.301280807192297e-13,1.627188041672876e-11,1.539993226852631e-13,negative
168,unit unit want book multi citi fare mile flight option pay flight mile ump visa thank,neutral,2.7865355740419687e-40,4.767855186340961e-38,5.850416207900793e-39,negative
169,unit unit would great get callback agent disconnect tri put hold wait connectfor min,negative,3.1521227185237004e-34,2.5047263956483634e-31,1.6650823223708253e-34,negative
170,virgin america virginamerica add pillow instead lie flat seat first class arm race,neutral,5.75789956801448e-40,1.1726991178970673e-40,8.00558379518676e-39,neutral
171,unit unit cancel flight flight anytim keep night,positive,3.886321515062789e-21,2.2040527438188457e-19,8.970812258938861e-20,negative
172,virgin america virginamerica jezziegoldz would rough trip luckili virginamerica flight weather,positive,3.594157979990063e-28,2.152776971744173e-30,1.6645128271668514e-28,positive
173,american americanair thank cancel flight flight put husband life danger drive weather safetyfirst,positive,1.1393281667584004e-30,8.512003840411328e-29,2.028409631082078e-29,negative
174,airway usairway like lie bad weather stuck day home owe,negative,5.903410123076377e-27,5.042575742338691e-25,2.791601335624153e-27,negative
175,american americanair delay bag friend lisa pafe got bag day costa rica issu updat system,negative,8.133852831951473e-44,4.494644608036489e-41,1.9910478574756085e-43,negative
176,american americanair thank respons book tri number airway number time pick,neutral,3.152877669228926e-30,2.1182333285172378e-28,1.73815106039317e-29,negative
177,american americanair time cancel flightl,neutral,1.37414093534609e-13,7.842863446846029e-12,3.2737599324741525e-13,negative
178,american americanair usairway wonder flight pre dawn nice start day,positive,9.113797561821037e-25,4.715111743344969e-25,7.593155632897696e-25,positive
179,unit unit perfect thank,positive,4.504334576243656e-09,1.457050193668043e-10,2.531088867848503e-10,positive
180,unit unit thnx,positive,9.251681503653825e-08,8.662510318069295e-08,1.0338524529442731e-07,neutral
181,american americanair zoom sauc potato stuff vile mean vile,negative,1.4956029680868484e-12,8.533172124956224e-12,7.726073440639001e-12,negative
182,airway usairway hubbi layov dfw cxl flt pls help get home sooner room bwi phl today,neutral,2.163811705492463e-51,3.332543664219069e-51,4.204137121378846e-50,neutral
183,unit unit flight plane sfo den basic time,positive,8.277609148036696e-22,1.585985043171233e-20,6.169970422437588e-22,negative
184,airway usairway look like bag rescu thank,positive,6.748940522822678e-19,5.651206949425924e-19,1.1994250730574045e-19,positive
185,unit unit ad one,neutral,2.625583626048763e-10,3.9548505256704023e-10,1.9469914368065406e-10,negative
186,delta jetblu pleas start fli guyana soon,neutral,5.006875717536448e-16,1.3793130815913619e-17,1.3907939556756435e-15,neutral
187,southwest southwestair thank get back nashvill big thank pilot baltimor fli snow land ice,positive,2.4599597635624716e-34,1.1702367814495613e-38,4.4034760104548646e-36,positive
188,delta jetblu thank final gate,positive,1.4115174019354293e-11,1.0448938134022749e-13,1.3853752779262578e-13,positive
189,airway usairway flight land hour ago still gotten gate hold uppp ____ imtir wannagohom,negative,5.1775560967855246e-33,2.5985847890848853e-30,9.806372711961074e-33,negative
190,delta jetblu joke miss connect flight minut last flight day hold minut,negative,9.770425077478437e-35,9.99928256738263e-31,7.747829614849888e-34,negative
191,unit unit luke_mcintosh nah,neutral,6.16778766910255e-08,8.662510318069295e-08,5.169262264721366e-08,negative
192,airway usairway mobil board pass email,neutral,4.3234281893620895e-19,1.980716010625424e-17,4.162710547669815e-17,neutral
193,southwest southwestair got messag part flight cancel flightl rebook onlin nobodi answer phone call help,negative,8.262405948182259e-46,6.71333106537256e-41,1.980266832008075e-43,negative
194,american americanair aateam thank work rigor weather condit,positive,1.0125758115545107e-15,6.744412434975518e-17,4.675331981405335e-17,positive
195,unit unit thank quick repli fill form idnumb hopetogetanswersoon,positive,1.3727293653039551e-18,3.3691580663089422e-21,3.169750671743769e-20,positive
196,airway usairway plane crew profession courteous gate agent fluster,positive,2.263351317096614e-23,1.1526180133725579e-23,1.8880151416197133e-25,positive
197,delta jetblu think summer new nantucket servic broadway world,neutral,2.686064647332387e-24,4.437925331819871e-26,1.3078799004506515e-24,positive
198,southwest southwestair birthday destinationdragon could get tix,neutral,3.571160136863115e-20,8.820996792790743e-22,1.1427750089483257e-19,neutral
199,delta jetblu thank free flyfi make alreadi great airlin even better jetblu boston westpalmbeach flybett,positive,5.343753949585299e-34,1.9919339187774222e-38,6.436680830810637e-38,positive
200,airway usairway happen frequent flyer mile earn merger complet,neutral,2.9279928940849967e-31,5.852045065259353e-29,1.9248274669246472e-30,negative
201,delta jetblu great idea cometoaustin,positive,7.433813499332116e-11,2.5252611808608985e-12,4.9513845269729815e-11,positive
